id,x,y,is_sink
1,150.00,0.00,1
2,106.89,247.43,0
3,35.83,174.31,0
4,193.17,166.97,0
5,40.17,290.39,0
6,6.34,91.61,0
7,71.65,174.97,0
8,259.20,112.89,0
9,132.32,230.31,0
10,110.14,91.97,0
11,11.43,146.60,0
12,291.06,192.77,0
13,151.67,289.72,0
14,105.12,185.64,0
15,201.18,109.97,0
16,33.41,207.23,0
17,94.63,19.05,0
18,13.26,134.01,0
19,75.71,10.17,0
20,289.82,157.37,0
21,170.68,195.01,0
22,64.95,253.54,0
23,140.38,283.24,0
24,256.98,138.67,0
25,258.10,109.34,0
26,6.28,250.93,0
27,14.40,99.05,0
28,254.44,176.17,0
29,245.57,63.27,0
30,253.27,142.54,0
31,181.91,131.47,0
32,248.51,219.02,0
33,193.80,25.46,0
34,104.97,257.98,0
35,32.84,15.03,0
36,37.17,80.65,0
37,288.41,40.81,0
38,99.58,212.07,0
39,92.61,93.96,0
40,146.06,240.46,0
41,6.28,72.50,0
42,150.32,277.85,0
43,199.48,92.21,0
44,91.03,268.50,0
45,136.89,290.19,0
46,142.90,98.51,0
47,269.74,218.49,0
48,290.13,97.17,0
49,175.47,58.11,0
50,147.99,207.34,0
51,217.22,222.70,0
52,105.51,21.64,0
53,178.66,19.74,0
54,130.07,246.35,0
55,231.77,75.67,0
56,191.72,190.14,0
57,19.24,127.29,0
58,221.64,130.34,0
59,286.62,215.97,0
60,102.98,166.94,0
